USER_ID,AGE,GENDER,NAME,PERSONA,DISCOUNT_PERSONA,BEHAVIOUR_CATEGORY,USED
1,31,M,Mark Johnson,furniture_homedecor_housewares,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
2,58,F,Mary Mejia,tools_housewares_apparel,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
3,43,M,Tommy Frazier,floral_beauty_jewelry,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
4,38,M,Ralph Anderson,books_apparel_homedecor,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
5,24,M,Carlos Walls,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
6,24,M,John Lewis,groceries_beauty_housewares,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
7,20,M,Michael Evans,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
8,50,F,Natalie Arnold,tools_housewares_apparel,DISCOUNT_INTERESTED,AVERAGE,Y
9,38,F,Heather Hicks,furniture_homedecor_housewares,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
10,42,F,Jennifer Phillips,homedecor_electronics_outdoors,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
11,18,M,William Carr,housewares_floral_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
12,61,M,James Carrillo,instruments_books_electronics,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
13,48,M,Joel Williams,accessories_groceries_books,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
14,26,F,Sarah Burke,apparel_footwear_accessories,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
15,25,F,Elizabeth Sullivan,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
16,25,F,Jamie Kerr,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
17,29,F,Samantha Jones,accessories_groceries_books,DISCOUNT_INTERESTED,AVERAGE,Y
18,36,M,Anthony Stone,instruments_books_electronics,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
19,33,M,Gregory Arnold,groceries_furniture_floral,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
20,28,M,James Thomas,floral_beauty_jewelry,DISCOUNT_INTERESTED,AVERAGE,Y
21,39,F,Vanessa Barrett,beauty_accessories_instruments,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
22,23,F,Suzanne Walker,outdoors_instruments_groceries,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
23,28,F,Christy Fowler,housewares_floral_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
24,31,F,Jody Jacobs,instruments_books_electronics,DISCOUNT_INTERESTED,AVERAGE,Y
25,33,M,Kyle Bell,beauty_electronics_groceries,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
26,45,M,Bradley Williams,outdoors_instruments_groceries,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
27,25,F,Michele Mason,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
28,35,M,Joseph Lee,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
29,38,M,Sean Wyatt,apparel_footwear_accessories,DISCOUNT_INTERESTED,AVERAGE,Y
30,20,F,Emily Bennett,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
31,38,M,Jackson Ball,homedecor_electronics_outdoors,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
32,24,F,Courtney Flores,footwear_jewelry_furniture,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
33,20,F,Peggy Marshall,groceries_seasonal_tools,DISCOUNT_INTERESTED,AVERAGE,Y
34,57,M,Robert Acosta,tools_housewares_apparel,DISCOUNT_INTERESTED,AVERAGE,Y
35,60,F,Paula Diaz,books_apparel_homedecor,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
36,47,F,Donna Evans,accessories_groceries_books,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
37,29,M,Mark Pierce,groceries_beauty_housewares,DISCOUNT_INTERESTED,AVERAGE,Y
38,22,M,Jerry Thomas,apparel_footwear_accessories,DISCOUNT_NOT_INTERESTED,HIGH_COVERSION,Y
39,41,M,Carl Davis,outdoors_instruments_groceries,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
40,33,F,Samantha Allen,instruments_books_electronics,DISCOUNT_INTERESTED,HIGH_COVERSION,Y
41,23,F,Ashley Yang,beauty_accessories_instruments,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
42,35,F,Sherri Smith,beauty_electronics_groceries,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
43,19,M,Adam Reyes,beauty_electronics_groceries,DISCOUNT_INTERESTED,AVERAGE,Y
44,53,F,Melanie Larson,floral_beauty_jewelry,DISCOUNT_INTERESTED,AVERAGE,Y
45,27,F,Nicole Good,outdoors_instruments_groceries,DISCOUNT_INTERESTED,LOW_CONVERSION,Y
46,40,M,Anthony Cooper,electronics_outdoors_footwear,DISCOUNT_NOT_INTERESTED,AVERAGE,Y
47,29,M,Michael Robinson,groceries_beauty_housewares,DISCOUNT_NOT_INTERESTED,LOW_CONVERSION,Y
